time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
0.352,0.8348,0.6337,-0.2011,0.0
0.401,0.8348,0.6337,-0.2011,0.0
0.451,0.8346,0.6337,-0.2009,0.0
0.501,0.8346,0.6337,-0.2009,0.0
0.551,0.8346,0.6337,-0.2009,0.0
0.601,0.8346,0.6337,-0.2009,0.0
0.651,0.8346,0.6337,-0.2009,0.0
0.701,0.8347,0.6337,-0.201,0.0
0.751,0.8346,0.6337,-0.2009,0.0
0.801,0.8347,0.6337,-0.201,0.0
0.851,0.8346,0.6337,-0.2009,0.0
0.901,0.8346,0.6337,-0.2009,0.0
0.951,0.8346,0.6337,-0.2009,0.0
1.001,0.8346,0.6337,-0.2009,0.0
1.051,0.8345,0.6337,-0.2008,0.0
1.101,0.8345,0.6337,-0.2008,0.0
1.151,0.8344,0.6337,-0.2007,0.0
1.201,0.8344,0.6337,-0.2007,0.0
1.251,0.8344,0.6337,-0.2007,0.0
1.301,0.8344,0.6337,-0.2007,0.0
1.351,0.834,0.6337,-0.2003,0.0
1.401,0.8339,0.6337,-0.2002,0.0
1.451,0.8337,0.6337,-0.2,-0.002
1.501,0.8333,0.6337,-0.1996,-0.002
1.551,0.8329,0.6337,-0.1992,-0.002
1.601,0.8324,0.6337,-0.1987,-0.004
1.651,0.8319,0.6337,-0.1982,-0.008
1.701,0.831,0.6337,-0.1973,-0.008
1.751,0.8309,0.6337,-0.1972,-0.008
1.801,0.8303,0.6337,-0.1966,-0.008
1.851,0.8295,0.6337,-0.1958,-0.01
1.901,0.8284,0.6337,-0.1947,-0.01
1.951,0.8278,0.6337,-0.1941,-0.012
2.001,0.8266,0.6337,-0.1929,-0.012
2.051,0.8259,0.6337,-0.1922,-0.014
2.101,0.8246,0.6337,-0.1909,-0.016
2.151,0.8236,0.6337,-0.1899,-0.016
2.201,0.8224,0.6337,-0.1887,-0.02
2.251,0.8209,0.6337,-0.1872,-0.022
2.301,0.8197,0.6337,-0.186,-0.024
2.351,0.8183,0.6337,-0.1846,-0.024
2.401,0.8167,0.6337,-0.183,-0.024
2.451,0.8155,0.6337,-0.1818,-0.024
2.501,0.8147,0.6337,-0.181,-0.024
2.551,0.8123,0.6337,-0.1786,-0.024
2.601,0.8115,0.6337,-0.1778,-0.024
2.651,0.8098,0.6337,-0.1761,-0.028
2.701,0.8079,0.6337,-0.1742,-0.028
2.751,0.8067,0.6337,-0.173,-0.028
2.801,0.805,0.6337,-0.1713,-0.032
2.851,0.8034,0.6337,-0.1697,-0.032
2.901,0.8016,0.6337,-0.1679,-0.034
2.951,0.7998,0.6337,-0.1661,-0.034
3.001,0.7984,0.6337,-0.1647,-0.034
3.051,0.7972,0.6337,-0.1635,-0.034
3.101,0.7957,0.6337,-0.162,-0.032
3.151,0.7936,0.6337,-0.1599,-0.032
3.201,0.7931,0.6337,-0.1594,-0.032
3.251,0.7913,0.6337,-0.1576,-0.032
3.301,0.7898,0.6337,-0.1561,-0.03
3.351,0.7889,0.6337,-0.1552,-0.03
3.401,0.787,0.6337,-0.1533,-0.03
3.451,0.7861,0.6337,-0.1524,-0.03
3.501,0.7856,0.6337,-0.1519,-0.03
3.551,0.7839,0.6337,-0.1502,-0.03
3.601,0.7835,0.6337,-0.1498,-0.018
3.651,0.7826,0.6337,-0.1489,-0.018
3.701,0.7816,0.6337,-0.1479,-0.018
3.751,0.7812,0.6337,-0.1475,-0.018
3.801,0.7808,0.6337,-0.1471,-0.018
3.851,0.7801,0.6337,-0.1464,-0.014
3.901,0.78,0.6337,-0.1463,-0.01
3.951,0.7799,0.6337,-0.1462,-0.008
4.001,0.7793,0.6337,-0.1456,-0.008
4.051,0.779,0.6337,-0.1453,-0.008
4.101,0.7788,0.6337,-0.1451,-0.008
4.151,0.7787,0.6337,-0.145,-0.006
4.201,0.7786,0.6337,-0.1449,-0.004
4.251,0.7786,0.6337,-0.1449,-0.002
4.301,0.7783,0.6337,-0.1446,-0.002
4.351,0.7782,0.6337,-0.1445,-0.002
4.401,0.778,0.6337,-0.1443,-0.004
4.451,0.7778,0.6337,-0.1441,-0.004
4.501,0.7777,0.6337,-0.144,-0.002
4.551,0.7771,0.6337,-0.1434,-0.002
4.601,0.7768,0.6337,-0.1431,-0.004
4.651,0.7764,0.6337,-0.1427,-0.004
4.701,0.775,0.6337,-0.1413,-0.006
4.751,0.7744,0.6337,-0.1407,-0.006
4.801,0.774,0.6337,-0.1403,-0.008
4.851,0.7726,0.6337,-0.1389,-0.008
4.901,0.7717,0.6337,-0.138,-0.012
4.951,0.7711,0.6337,-0.1374,-0.012
5.001,0.7696,0.6337,-0.1359,-0.012
5.051,0.7678,0.6337,-0.1341,-0.018
5.101,0.7662,0.6337,-0.1325,-0.028
