time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
0.355,0.7502,0.3975,-0.3527,0.0
0.404,0.7507,0.3975,-0.3532,0.0102
0.454,0.7504,0.3975,-0.3529,0.0
0.504,0.7506,0.3975,-0.3531,0.004
0.554,0.7504,0.3975,-0.3529,0.0
0.604,0.7504,0.3975,-0.3529,0.0
0.654,0.7504,0.3975,-0.3529,0.0
0.704,0.7506,0.3975,-0.3531,0.0
0.754,0.7506,0.3975,-0.3531,0.0
0.804,0.7506,0.3975,-0.3531,0.0
0.854,0.7506,0.3975,-0.3531,0.0
0.904,0.7506,0.3975,-0.3531,0.0
0.954,0.7506,0.3975,-0.3531,0.0
1.004,0.7507,0.3975,-0.3532,0.0
1.054,0.7507,0.3975,-0.3532,0.0
1.104,0.7507,0.3975,-0.3532,0.0
1.154,0.7507,0.3975,-0.3532,0.0
1.204,0.751,0.3975,-0.3535,0.0
1.254,0.7511,0.3975,-0.3536,0.0
1.304,0.7514,0.3975,-0.3539,0.0
1.354,0.752,0.3975,-0.3545,0.002
1.404,0.7521,0.3975,-0.3546,0.002
1.454,0.7525,0.3975,-0.355,0.002
1.504,0.7526,0.3975,-0.3551,0.002
1.554,0.7528,0.3975,-0.3553,0.004
1.604,0.7528,0.3975,-0.3553,0.004
1.654,0.7529,0.3975,-0.3554,0.002
1.704,0.7531,0.3975,-0.3556,0.004
1.754,0.7536,0.3975,-0.3561,0.004
1.804,0.7538,0.3975,-0.3563,0.004
1.854,0.7543,0.3975,-0.3568,0.004
1.904,0.7544,0.3975,-0.3569,0.004
1.954,0.7545,0.3975,-0.357,0.004
2.004,0.7545,0.3975,-0.357,0.002
2.054,0.7546,0.3975,-0.3571,0.002
2.104,0.7549,0.3975,-0.3574,0.004
2.154,0.7552,0.3975,-0.3577,0.004
2.204,0.7552,0.3975,-0.3577,0.002
2.254,0.7553,0.3975,-0.3578,0.002
2.304,0.7555,0.3975,-0.358,0.002
2.354,0.7555,0.3975,-0.358,0.002
2.404,0.7555,0.3975,-0.358,0.002
2.454,0.7555,0.3975,-0.358,0.002
2.504,0.756,0.3975,-0.3585,0.002
2.554,0.756,0.3975,-0.3585,0.0
2.604,0.7561,0.3975,-0.3586,0.0
2.654,0.7562,0.3975,-0.3587,0.002
2.704,0.7565,0.3975,-0.359,0.002
2.754,0.7571,0.3975,-0.3596,0.002
2.804,0.7572,0.3975,-0.3597,0.002
2.854,0.7573,0.3975,-0.3598,0.002
2.904,0.7576,0.3975,-0.3601,0.002
2.954,0.7576,0.3975,-0.3601,0.002
3.004,0.7576,0.3975,-0.3601,0.002
3.054,0.7576,0.3975,-0.3601,0.002
3.104,0.7576,0.3975,-0.3601,0.002
3.154,0.7576,0.3975,-0.3601,0.0
3.204,0.7576,0.3975,-0.3601,0.0
3.254,0.7576,0.3975,-0.3601,0.0
3.304,0.7576,0.3975,-0.3601,0.0
3.354,0.7576,0.3975,-0.3601,0.0
3.404,0.7575,0.3975,-0.36,0.0
3.454,0.7572,0.3975,-0.3597,0.0
3.504,0.756,0.3975,-0.3585,0.0
3.554,0.7559,0.3975,-0.3584,0.0
3.604,0.7557,0.3975,-0.3582,-0.002
3.654,0.7545,0.3975,-0.357,-0.002
3.704,0.753,0.3975,-0.3555,-0.004
3.754,0.7525,0.3975,-0.355,-0.006
3.804,0.7504,0.3975,-0.3529,-0.01
3.854,0.7492,0.3975,-0.3517,-0.024
3.904,0.7479,0.3975,-0.3504,-0.024
3.954,0.746,0.3975,-0.3485,-0.024
4.004,0.744,0.3975,-0.3465,-0.026
4.054,0.7419,0.3975,-0.3444,-0.03
4.104,0.7393,0.3975,-0.3418,-0.038
4.154,0.7366,0.3975,-0.3391,-0.04
4.204,0.7338,0.3975,-0.3363,-0.042
4.254,0.7302,0.3975,-0.3327,-0.042
4.304,0.7273,0.3975,-0.3298,-0.052
4.354,0.7242,0.3975,-0.3267,-0.054
4.404,0.7207,0.3975,-0.3232,-0.056
4.454,0.7161,0.3975,-0.3186,-0.058
4.504,0.7127,0.3975,-0.3152,-0.062
4.554,0.7076,0.3975,-0.3101,-0.068
4.604,0.7023,0.3975,-0.3048,-0.07
4.654,0.6984,0.3975,-0.3009,-0.072
4.704,0.6931,0.3975,-0.2956,-0.078
4.754,0.6885,0.3975,-0.291,-0.092
4.804,0.6832,0.3975,-0.2857,-0.092
4.854,0.6776,0.3975,-0.2801,-0.102
4.904,0.6721,0.3975,-0.2746,-0.106
4.954,0.6672,0.3975,-0.2697,-0.106
5.004,0.6612,0.3975,-0.2637,-0.106
5.054,0.656,0.3975,-0.2585,-0.106
5.104,0.6511,0.3975,-0.2536,-0.106
5.154,0.6452,0.3975,-0.2477,-0.106
5.204,0.64,0.3975,-0.2425,-0.106
5.254,0.6351,0.3975,-0.2376,-0.104
5.304,0.6302,0.3975,-0.2327,-0.104
5.354,0.6253,0.3975,-0.2278,-0.098
